barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
248087,270/2/12/1,"ANZUS Treaty - 12th Meeting Arrangements, Date, Representation etc.",A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1963 - 1963,1963,1963,Closed,Withheld pending adv,2017-01-06 00:00:00
272002,TS383/6/5,Voyage of the TIKI - Top Secret documents,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1952 - 1952,1952,1952,Closed,Withheld pending adv,2017-03-20 00:00:00
273430,160/2/1 PART 9,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1962,1961,1962,Closed,Withheld pending adv,2017-03-22 00:00:00
273431,160/2/1 PART 10,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1962,1961,1962,Closed,Withheld pending adv,2017-03-21 00:00:00
273432,160/2/1 PART 11,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1964,1961,1964,Closed,Withheld pending adv,2017-03-21 00:00:00
273470,160/2/1 PART 8,Ceylon - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1960,1960,1960,Closed,Withheld pending adv,2017-03-21 00:00:00
279966,3125/11/161 PART 2,North Korea - Relations with the USA,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1968 - 1968,1968,1968,Closed,Withheld pending adv,2017-02-03 00:00:00
279967,3125/11/161 PART 3,North Korea - Relations with the USA,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1968 - 1968,1968,1968,Closed,Withheld pending adv,2017-02-03 00:00:00
279968,3125/11/161 PART 4,North Korea - Relation with the USA,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1968 - 1970,1968,1970,Closed,Withheld pending adv,2017-11-20 00:00:00
302653,3125/2/1 PART 5,North Korea - Political,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1961,1961,1961,Closed,Withheld pending adv,2017-11-16 00:00:00
302655,3125/2/1 PART 7,North Korea - Political,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1962 - 1966,1962,1966,Closed,Withheld pending adv,2017-11-17 00:00:00
302656,3125/2/1 PART 8,North Korea - Political,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1966 - 1968,1966,1968,Closed,Withheld pending adv,2017-11-17 00:00:00
302658,3125/4/1 PART 2,North Korea - Economic,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1964 - 1965,1964,1965,Closed,Withheld pending adv,2017-11-16 00:00:00
464680,2355/2,"Co-operation in British Commonwealth Defence - exchange of JIC [Joint Intelligence Committee] papers between Canada and Australia and United Kingdom, New Zealand and Australia",A5954,"'The Shedden Collection' [Records collected by Sir Frederick Shedden during his career with the Department of Defence and in researching the history of Australian Defence Policy], two number series",1954 - 1956,1954,1956,Closed,Withheld pending adv,2017-01-17 00:00:00
464681,2355/3,[portion of title exempt] Political assessments for External Affairs. [Intelligence co-operation].,A5954,"'The Shedden Collection' [Records collected by Sir Frederick Shedden during his career with the Department of Defence and in researching the history of Australian Defence Policy], two number series",1956 - 1956,1956,1956,Closed,Withheld pending adv,2017-09-13 00:00:00
510254,1626/5,Strategical planning in relation to co-operation in British Commonwealth defence. Visit of United Kingdom planning team.,A5954,"'The Shedden Collection' [Records collected by Sir Frederick Shedden during his career with the Department of Defence and in researching the history of Australian Defence Policy], two number series",1949 - 1949,1949,1949,Closed,Withheld pending adv,2017-12-06 00:00:00
545338,67/1/1 PART 6,United Kingdom Foreign Policy General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1961 - 1964,1961,1964,Closed,Withheld pending adv,2017-03-14 00:00:00
545448,855/5 PART 1,Economic Relations - Bangladesh Foreign Aid,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1974,1971,1974,Closed,Withheld pending adv,2017-04-13 00:00:00
546817,936/3/8/4 PART 1,Japanese Interest in Papua New Guinea,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1970 - 1971,1970,1971,Closed,Withheld pending adv,2017-01-17 00:00:00
547000,938/17/23/2 PART 4,Law of the Sea - 3rd United Nations Law of the Sea Conference - 3rd Session 1975,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1975,1975,1975,Closed,Withheld pending adv,2017-02-03 00:00:00
547001,938/17/23/2 PART 5,Law of the Sea - 3rd United Nations Law of the Sea Conference - 3rd Session 1975,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1975,1975,1975,Closed,Withheld pending adv,2017-02-02 00:00:00
547533,3006/10/4/1 PART 28,Malaysia - Singapore - British Australian Policies in Malaysian Region - Post August 1965,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1972 - 1972,1972,1972,Closed,,2017-01-04 00:00:00
547640,3103/10/17/3/6 PART 4,Japan - Interests in Papua New Guinea,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2017-01-19 00:00:00
547790,3010/9/5 PART 7,Thailand - Relations with SEATO,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2017-03-30 00:00:00
547874,3014/1/1 PART 3,South Vietnam - Internal - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1975,1971,1975,Closed,Withheld pending adv,2017-04-21 00:00:00
548343,3107/19/1/2 PART 1A,China - Industries - Food Production - Harvest Prospects & Assessment of Harvests,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1966 - 1974,1966,1974,Closed,Withheld pending adv,2017-03-16 00:00:00
